Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
513692	0	507029	21898	Aramaic	בִּידֵ֛הּ	בִּידֵ֛הּ	bî·ḏêh	Prep-b | N-fsc | 3ms	Preposition-b | Noun - feminine singular construct | third person masculine singular	3028								 in His hand 				
513691	0	507030	21898	Aramaic	נִשְׁמְתָ֥ךְ	נִשְׁמְתָ֥ךְ	niš·mə·ṯāḵ	N-fsc | 2ms	Noun - feminine singular construct | second person masculine singular	5396								 your very breath 				
513693	0	507031	21898	Aramaic	וְכָל־	וְכָל־	wə·ḵāl	Conj-w | N-msc	Conjunctive waw | Noun - masculine singular construct	3606								 and all 				
513694	0	507032	21898	Aramaic	אֹרְחָתָ֥ךְ	אֹרְחָתָ֥ךְ	’ō·rə·ḥā·ṯāḵ	N-fpc | 2ms	Noun - feminine plural construct | second person masculine singular	735								 your ways 	.			
999999	29084	566030	24217	Greek	Ἀρχὴ	Ἀρχὴ	Archē	N-NFS	Noun - Nominative Feminine Singular		746	Mark 1:1	<p class=|hdg|>The Mission of John the Baptist	<br /><span class=|cross|>(<a href =|../isaiah/40.htm|>Isaiah 40:1–5</a>; <a href =|../matthew/3.htm|>Matthew 3:1–17</a>; <a href =|../luke/3.htm|>Luke 3:1–22</a>; <a href =|../john/1.htm#19|>John 1:19–34</a>)</span>	<p class=|reg|>			 [This is the] beginning 				
999999	29085	566031	24217	Greek	τοῦ	τοῦ	tou	Art-GNS	Article - Genitive Neuter Singular		3588							 of the 				
999999	29086	566032	24217	Greek	εὐαγγελίου	εὐαγγελίου	euangeliou	N-GNS	Noun - Genitive Neuter Singular		2098							 gospel 				
999999	29087	566033	24217	Greek	Ἰησοῦ	Ἰησοῦ	Iēsou	N-GMS	Noun - Genitive Masculine Singular		2424							 of Jesus 				
999999	29088	566034	24217	Greek	Χριστοῦ	Χριστοῦ	Christou	N-GMS	Noun - Genitive Masculine Singular		5547							 Christ 	,			
999999	29089	566035	24217	Greek	Υἱοῦ	Υἱοῦ	Huiou	N-GMS	Noun - Genitive Masculine Singular		5207							 [the] Son 				
999999	29090	566036	24217	Greek	τοῦ	τοῦ	tou	Art-GMS	Article - Genitive Masculine Singular		3588							 - 				
999999	29091	566037	24217	Greek	Θεοῦ	Θεοῦ	Theou	N-GMS	Noun - Genitive Masculine Singular		2316							 of God 	.		ECM, NE, BYZ, and TR; SBL and WH <i>the beginning of the gospel of Jesus Christ.</i>	
999999	29102	566048	24218	Greek	Καθὼς	Καθὼς	Kathōs	Adv	Adverb		2531	Mark 1:2						 As 				
999999	29103	566049	24218	Greek	γέγραπται	γέγραπται	gegraptai	V-RIM/P-3S	Verb - Perfect Indicative Middle or Passive - 3rd Person Singular		1125							 it is written 				
999999	29104	566050	24218	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 in 				
999999	29105	566051	24218	Greek	τῷ	τῷ	tō	Art-DMS	Article - Dative Masculine Singular		3588							 - 				
